,real_close_price_test,predict_price_test_close,predict_price_test_open,predict_price_test_high,predict_price_test_low,,真_价格是否位于__到最高价和最低价之_,,真_价格位于___的概率
0,22577.9,21866.39063,21782.1582,22935.56445,20780.45898,,1,,0.789617486
1,20386.6,21347.79883,21319.79297,22440.43945,20334.23633,,1,,
2,20444.6,20789.50195,20767.23438,21846.50781,19821.11523,,1,,
3,18986.5,20344.79688,20328.57227,21353.74219,19439.20898,,0,,
4,20577.2,19160.24414,19118.31055,20103.89063,18275.89844,,0,,
5,20572.3,19342.34766,19347.33984,20283.36328,18539.05273,,0,,
6,20720.4,19969.125,20001.65625,20889.04102,19234.49609,,1,,
7,19965.8,20594.84766,20634.63867,21477.94336,19911.17969,,1,,
8,21100.7,20281.96875,20287.14258,21106.68359,19601.97461,,1,,
9,21226.9,20540.41211,20556.23438,21354.45703,19894.23047,,1,,
10,21489.9,20942.86328,20962.35742,21748.23828,20320.54883,,1,,
11,21043.5,21184.06641,21195.90039,21976.89453,20569.6543,,1,,
12,20730.2,21190.1543,21186.08594,21968.08008,20567.75,,1,,
13,20278,20886.89453,20863.375,21651.92578,20247.58594,,1,,
14,20111.3,20480.49219,20443.65039,21240.02734,19826.19336,,1,,
15,19926.6,20029.92969,19984.86133,20787.07813,19366.50195,,1,,
16,19262.9,19501.30078,19450.30469,20258.84375,18824.91797,,1,,
17,19243.2,19372.42578,19330.96875,20135.7793,18697.29102,,1,,
18,19309.9,19049.90234,19004.06445,19803.26758,18375.36523,,1,,
19,20215.8,18965.72656,18928.36914,19715.65234,18304.58203,,0,,
20,20200.6,19418.60352,19407.19727,20178.41602,18788.36914,,0,,
21,20561.1,19770.68555,19764.07227,20525.4082,19150.13477,,0,,
22,21637.8,20078.33398,20072.30664,20825.60156,19461.20117,,0,,
23,21611.2,20841.99805,20855.3418,21600.98828,20242.75,,0,,
24,21587.5,21468.42969,21479.7168,22227.68164,20866.02734,,1,,
25,20847.4,21525.19141,21513.6582,22273.10547,20898.36328,,0,,
26,19963.2,21047.02344,21006.21484,21782.92969,20381.06055,,0,,
27,19330.9,20247.25391,20182.66211,20976.4043,19543.85938,,0,,
28,20250,19470.38867,19396.98438,20200.96289,18747.88672,,0,,
29,20586,19441.02344,19395.94727,20198.14063,18739.94336,,0,,
30,20825.1,19895.91406,19878.03125,20672.04102,19222.32813,,0,,
31,21209.9,20396.61719,20389.37891,21172.02344,19741.28711,,0,,
32,20785.6,20786.70313,20780.7168,21555.51758,20139.53125,,1,,
33,22525.8,20873.78906,20855.49414,21628.54883,20219.32813,,0,,
34,23410.2,21603.86133,21611.14453,22381.42578,20972.46094,,0,,
35,23215.2,22539.83008,22562.84375,23340.89844,21919.00977,,1,,
36,23153,23198.25195,23210.59766,24003.77734,22560.41211,,1,,
37,22675.2,22958.83008,22935.33008,23754.61133,22273.60352,,1,,
38,22460.4,22808.77148,22774.74023,23612.80078,22092.16016,,1,,
39,22582.1,22355.54102,22306.82422,23165.66797,21608.41211,,1,,
40,21301.9,22317.5625,22279.05859,23146.11719,21568.75977,,0,,
41,21248.7,21626.74023,21565.16992,22446.58984,20849.54883,,1,,
42,22958.3,20951.64063,20885.27539,21769.20898,20165.05664,,0,,
43,23850,21740.01367,21731.88672,22600.22461,21005.70508,,0,,
44,23774.3,22980.44531,23006.50195,23861.78711,22288.73633,,1,,
45,23634.2,23580.31055,23591.38281,24444.19922,22886.23633,,1,,
46,23303.4,23744.74219,23735.36719,24591.05273,23034.02539,,1,,
47,23271.2,23469.66016,23438.13477,24304.75586,22734.49609,,1,,
48,22988.6,23081.29297,23039.76758,23917.99609,22329.02344,,1,,
49,22820.8,22813.01563,22771.88672,23657.89453,22053.01758,,1,,
50,22612.1,22746.78906,22712.40625,23600.37891,21990.29492,,1,,
51,23308.2,22513.94727,22475.67188,23365.62891,21756.11328,,1,,
52,22944.2,22752.86133,22733.01563,23616.43164,22015.66992,,1,,
53,23175.3,22795.32617,22771.7207,23651.7207,22062.02539,,1,,
54,23816.3,22862.41797,22839.80078,23713.52148,22135.78516,,0,,
55,23146.7,23361.02344,23355.77344,24221.16602,22654.67969,,1,,
56,23962.9,23164.92578,23138.1543,24009.76367,22439.94336,,1,,
57,23935.3,23355.00781,23339.38477,24211.32422,22632.51953,,1,,
58,24398.7,23861.44336,23857.17969,24728.79297,23147.10742,,1,,
59,24442.5,23954.28906,23940.24609,24820.03906,23230.60742,,1,,
60,24302.8,24259.73242,24248.55273,25131.42188,23535,,1,,
61,24101.7,24270.71289,24249.14844,25140.67188,23533.76367,,1,,
62,23856.8,24145.61328,24116.70508,25018.68945,23394.34375,,1,,
63,23338,23758.75391,23717.94336,24631.09375,22989.53711,,1,,
64,23203.6,23411.78906,23368.42383,24288.11914,22631.69141,,1,,
65,20831.3,23061.17383,23016.85742,23938.21875,22278.76953,,0,,
66,21138.9,21627.39258,21540.81055,22475.78906,20795.95313,,1,,
67,21517.2,20861.75977,20788.67773,21714.38086,20039.70508,,1,,
68,21416.3,20952.86914,20916.21094,21820.67188,20177.48828,,1,,
69,21517.2,20948.50391,20920.50977,21804.60156,20202.28516,,1,,
70,21365.2,21047.13086,21027.37305,21887.85742,20326.86328,,1,,
71,21565.4,21165.82813,21149.30664,21987.55859,20465.48047,,1,,
72,20249.9,21300.9375,21286.9707,22106.56055,20619.28711,,0,,
73,20033.9,20709.11914,20667.67969,21484.52148,20008.05859,,1,,
74,19550.2,20032.37891,19978.83008,20791.58203,19323.57617,,1,,
75,20295.8,19574.61523,19523.24805,20328.6582,18873.17773,,1,,
76,19792.6,19708.16016,19681.43945,20473.5,19040.07031,,1,,
77,20043.9,19714.76367,19689.50195,20472.08008,19059.42383,,1,,
