timeOpen,Close,Open,High,Low,volume,Chg.(%)
2024/6/17,65654.80 ,66672.90 ,66893.00 ,65489.70 ,35.60K,(0.02)
2024/6/16,66674.70 ,66223.00 ,66951.40 ,66038.10 ,20.74K,0.01 
2024/6/15,66223.00 ,66034.10 ,66446.40 ,65895.10 ,24.05K,0.00 
2024/6/14,66034.80 ,66775.20 ,67347.70 ,65076.50 ,65.18K,(0.01)
2024/6/13,66773.10 ,68260.60 ,68384.60 ,66324.30 ,66.36K,(0.02)
2024/6/12,68260.10 ,67320.90 ,69990.80 ,66911.50 ,85.55K,0.01 
2024/6/11,67319.80 ,69537.90 ,69573.30 ,66197.80 ,96.70K,(0.03)
2024/6/10,69538.20 ,69650.20 ,70152.50 ,69259.90 ,39.12K,(0.00)
2024/6/9,69650.60 ,69310.50 ,69847.80 ,69136.70 ,20.99K,0.00 
2024/6/8,69310.10 ,69347.00 ,69572.10 ,69222.40 ,23.03K,(0.00)
2024/6/7,69347.90 ,70793.40 ,71956.50 ,68620.70 ,82.62K,(0.02)
2024/6/6,70791.50 ,71083.60 ,71616.10 ,70178.70 ,49.79K,(0.00)
2024/6/5,71083.70 ,70550.90 ,71744.40 ,70397.10 ,67.06K,0.01 
2024/6/4,70549.20 ,68808.00 ,71034.20 ,68564.30 ,75.69K,0.03 
2024/6/3,68807.80 ,67763.30 ,70131.00 ,67616.80 ,69.42K,0.02 
2024/6/2,67773.50 ,67760.80 ,68447.50 ,67330.60 ,30.63K,0.00 
2024/6/1,67760.80 ,67533.90 ,67861.00 ,67449.60 ,19.01K,0.00 
2024/5/31,67530.10 ,68352.30 ,69018.20 ,66676.80 ,61.51K,(0.01)
2024/5/30,68354.70 ,67631.30 ,69504.70 ,67138.40 ,66.84K,0.01 
2024/5/29,67635.80 ,68366.20 ,68897.60 ,67143.20 ,52.13K,(0.01)
2024/5/28,68366.00 ,69428.30 ,69560.70 ,67299.90 ,71.39K,(0.02)
2024/5/27,69428.70 ,68514.60 ,70638.30 ,68275.20 ,49.07K,0.01 
2024/5/26,68514.80 ,69287.20 ,69494.00 ,68294.50 ,24.58K,(0.01)
2024/5/25,69284.40 ,68548.20 ,69558.80 ,68516.10 ,25.17K,0.01 
