timeOpen,Close,Open,High,Low,volume,Chg.(%)
2024/5/19,66279.10 ,66919.00 ,67662.50 ,65937.30 ,36190.00 ,-0.01 
2024/5/20,71422.70 ,66278.30 ,71482.80 ,66076.50 ,112660.00 ,0.08 
2024/5/21,70139.90 ,71430.50 ,71872.00 ,69181.70 ,108560.00 ,-0.02 
2024/5/22,69155.40 ,70141.00 ,70593.40 ,69024.30 ,65080.00 ,-0.01 
2024/5/23,67975.70 ,69166.30 ,70041.00 ,66578.10 ,89450.00 ,-0.02 
2024/5/24,68547.60 ,67971.10 ,69212.00 ,66685.80 ,63280.00 ,0.01 
2024/5/25,69284.40 ,68548.20 ,69558.80 ,68516.10 ,25170.00 ,0.01 
2024/5/26,68514.80 ,69287.20 ,69494.00 ,68294.50 ,24580.00 ,-0.01 
2024/5/27,69428.70 ,68514.60 ,70638.30 ,68275.20 ,49070.00 ,0.01 
2024/5/28,68366.00 ,69428.30 ,69560.70 ,67299.90 ,71390.00 ,-0.02 
2024/5/29,67635.80 ,68366.20 ,68897.60 ,67143.20 ,52130.00 ,-0.01 
2024/5/30,68354.70 ,67631.30 ,69504.70 ,67138.40 ,66840.00 ,0.01 
2024/5/31,67530.10 ,68352.30 ,69018.20 ,66676.80 ,61510.00 ,-0.01 
2024/6/1,67760.80 ,67533.90 ,67861.00 ,67449.60 ,19010.00 ,0.00 
2024/6/2,67773.50 ,67760.80 ,68447.50 ,67330.60 ,30630.00 ,0.00 
2024/6/3,68807.80 ,67763.30 ,70131.00 ,67616.80 ,69420.00 ,0.02 
2024/6/4,70549.20 ,68808.00 ,71034.20 ,68564.30 ,75690.00 ,0.03 
2024/6/5,71083.70 ,70550.90 ,71744.40 ,70397.10 ,67060.00 ,0.01 
2024/6/6,70791.50 ,71083.60 ,71616.10 ,70178.70 ,49790.00 ,0.00 
2024/6/7,69347.90 ,70793.40 ,71956.50 ,68620.70 ,82620.00 ,-0.02 
2024/6/8,69310.10 ,69347.00 ,69572.10 ,69222.40 ,23030.00 ,0.00 
2024/6/9,69650.60 ,69310.50 ,69847.80 ,69136.70 ,20990.00 ,0.00 
2024/6/10,69538.20 ,69650.20 ,70152.50 ,69259.90 ,39120.00 ,0.00 
2024/6/11,67319.80 ,69537.90 ,69573.30 ,66197.80 ,96700.00 ,-0.03 
2024/6/12,68260.10 ,67320.90 ,69990.80 ,66911.50 ,85550.00 ,0.01 
2024/6/13,66773.10 ,68260.60 ,68384.60 ,66324.30 ,66360.00 ,-0.02 
2024/6/14,66034.80 ,66775.20 ,67347.70 ,65076.50 ,65180.00000000001,-0.01 
2024/6/15,66223.00 ,66034.10 ,66446.40 ,65895.10 ,24050.00 ,0.00 
2024/6/16,66674.70 ,66223.00 ,66951.40 ,66038.10 ,20740.00 ,0.01 
2024/6/17,65654.80 ,66672.90 ,66893.00 ,65489.70 ,35600.00 ,-0.02 
