timeOpen,Close,Open,High,Low,volume,Chg.(%)
2014/1/1,815.90 ,805.90 ,829.90 ,771.00 ,10760.00 ,0.01 
2014/1/2,856.90 ,815.90 ,886.20 ,810.50 ,12810.00 ,0.05 
2014/1/3,884.30 ,856.90 ,888.20 ,839.40 ,9710.00 ,0.03 
2014/1/4,924.70 ,884.30 ,932.20 ,848.30 ,14240.00 ,0.05 
2014/1/5,1014.70 ,924.70 ,1029.90 ,911.40 ,21370.00 ,0.10 
2014/1/6,1012.70 ,1014.70 ,1093.40 ,964.70 ,23080.00 ,0.00 
2014/1/7,879.90 ,1012.70 ,1044.00 ,879.80 ,22670.00 ,-0.13 
2014/1/8,938.80 ,879.90 ,966.90 ,858.90 ,14100.00 ,0.07 
2014/1/9,937.00 ,938.80 ,964.60 ,866.50 ,14420.00 ,0.00 
2014/1/10,957.80 ,937.00 ,964.80 ,905.90 ,6350.00 ,0.02 
2014/1/11,1005.30 ,957.80 ,1010.80 ,935.00 ,11180.00 ,0.05 
2014/1/12,939.80 ,1005.30 ,1022.70 ,922.10 ,9930.00 ,-0.07 
2014/1/13,922.90 ,939.80 ,949.20 ,879.90 ,10130.00 ,-0.02 
2014/1/14,919.30 ,922.90 ,942.50 ,904.20 ,4310.00 ,0.00 
2014/1/15,941.20 ,919.30 ,973.10 ,915.10 ,6830.00 ,0.02 
2014/1/16,913.50 ,941.20 ,955.50 ,910.50 ,5100.00 ,-0.03 
2014/1/17,894.20 ,913.50 ,929.80 ,867.20 ,10310.00 ,-0.02 
2014/1/18,905.70 ,894.20 ,924.70 ,884.70 ,6040.00 ,0.01 
2014/1/19,954.80 ,905.70 ,958.10 ,901.90 ,7570.00 ,0.05 
2014/1/20,956.00 ,954.80 ,980.50 ,926.00 ,10410.00 ,0.00 
2014/1/21,962.20 ,956.00 ,974.30 ,943.20 ,6590.00 ,0.01 
2014/1/22,951.00 ,962.20 ,973.90 ,935.00 ,4780.00 ,-0.01 
2014/1/23,944.20 ,951.00 ,958.10 ,936.30 ,1970.00 ,-0.01 
2014/1/24,916.50 ,944.20 ,949.50 ,902.90 ,6200.00 ,-0.03 
2014/1/25,961.00 ,916.50 ,978.40 ,915.90 ,8180.00 ,0.05 
2014/1/26,1007.00 ,961.00 ,1038.10 ,950.70 ,13070.00 ,0.05 
2014/1/27,943.50 ,1007.00 ,1021.50 ,937.20 ,8330.00 ,-0.06 
2014/1/28,932.70 ,943.50 ,972.60 ,911.70 ,10410.00 ,-0.01 
2014/1/29,925.70 ,932.70 ,950.60 ,918.90 ,5680.00 ,-0.01 
2014/1/30,941.40 ,925.70 ,953.20 ,909.50 ,5430.00 ,0.02 
2014/1/31,938.80 ,941.40 ,954.70 ,924.60 ,4310.00 ,0.00 
2014/2/1,940.40 ,938.80 ,969.20 ,927.80 ,4370.00 ,0.00 
2014/2/2,953.30 ,940.40 ,959.40 ,934.40 ,1580.00 ,0.01 
2014/2/3,931.70 ,953.30 ,959.60 ,931.70 ,2790.00 ,-0.02 
2014/2/4,926.60 ,931.70 ,949.10 ,900.80 ,4610.00 ,-0.01 
2014/2/5,904.50 ,926.60 ,939.80 ,890.00 ,7560.00 ,-0.02 
2014/2/6,828.90 ,904.50 ,908.80 ,800.90 ,18600.00 ,-0.08 
2014/2/7,695.70 ,828.90 ,833.10 ,651.70 ,49910.00 ,-0.16 
2014/2/8,648.80 ,695.70 ,719.30 ,632.10 ,22880.00 ,-0.07 
2014/2/9,659.60 ,648.80 ,694.10 ,622.50 ,19890.00 ,0.02 
2014/2/10,582.60 ,659.60 ,700.00 ,500.00 ,40130.00 ,-0.12 
2014/2/11,579.00 ,582.60 ,609.70 ,550.20 ,16730.00 ,-0.01 
2014/2/12,531.10 ,579.00 ,585.10 ,511.90 ,21300.00 ,-0.08 
2014/2/13,451.40 ,531.10 ,549.20 ,451.30 ,28940.00 ,-0.15 
2014/2/14,427.70 ,451.40 ,500.00 ,302.20 ,65820.00 ,-0.05 
2014/2/15,371.10 ,427.70 ,447.90 ,310.10 ,50620.00 ,-0.13 
2014/2/16,299.80 ,371.10 ,540.00 ,220.40 ,86180.00 ,-0.19 
2014/2/17,272.30 ,299.80 ,411.20 ,263.40 ,51440.00 ,-0.09 
2014/2/18,294.00 ,272.30 ,370.10 ,248.30 ,48880.00 ,0.08 
2014/2/19,261.50 ,294.00 ,308.60 ,257.20 ,31500.00 ,-0.11 
2014/2/20,111.90 ,261.50 ,271.60 ,109.20 ,102180.00 ,-0.57 
2014/2/21,111.60 ,111.90 ,160.10 ,91.70 ,82590.00 ,0.00 
2014/2/22,255.60 ,111.60 ,290.60 ,96.70 ,72170.00 ,1.29 
2014/2/23,310.20 ,255.60 ,349.10 ,220.30 ,38550.00 ,0.21 
2014/2/24,174.00 ,310.20 ,316.90 ,131.90 ,95120.00 ,-0.44 
2014/2/25,135.80 ,174.00 ,174.60 ,102.30 ,30430.00 ,-0.22 
2014/2/26,593.10 ,135.80 ,650.00 ,522.80 ,600.00 ,3.37 
2014/2/27,596.50 ,593.10 ,629.90 ,580.50 ,500.00 ,0.01 
2014/2/28,573.90 ,596.50 ,599.00 ,570.00 ,510.00 ,-0.04 
2014/3/1,557.40 ,573.90 ,564.10 ,262.80 ,400.00 ,-0.03 
2014/3/2,544.60 ,557.40 ,562.90 ,541.50 ,830.00 ,-0.02 
2014/3/3,662.20 ,544.60 ,695.40 ,545.40 ,1260.00 ,0.22 
2014/3/4,661.80 ,662.20 ,686.20 ,645.20 ,1370.00 ,0.00 
2014/3/5,658.30 ,661.80 ,666.00 ,636.80 ,1260.00 ,-0.01 
2014/3/6,648.30 ,658.30 ,661.80 ,636.20 ,2070.00 ,-0.02 
2014/3/7,616.70 ,648.30 ,655.20 ,600.30 ,2340.00 ,-0.05 
2014/3/8,609.20 ,616.70 ,625.70 ,588.60 ,2170.00 ,-0.01 
2014/3/9,627.00 ,609.20 ,637.60 ,598.50 ,1950.00 ,0.03 
2014/3/10,613.00 ,627.00 ,633.70 ,594.70 ,2630.00 ,-0.02 
2014/3/11,608.70 ,613.00 ,619.70 ,599.90 ,2430.00 ,-0.01 
2014/3/12,619.40 ,608.70 ,640.80 ,608.20 ,3200.00 ,0.02 
2014/3/13,625.00 ,619.40 ,636.10 ,616.10 ,3410.00 ,0.01 
2014/3/14,614.00 ,625.00 ,631.20 ,610.60 ,4000.00 ,-0.02 
2014/3/15,624.00 ,614.00 ,628.80 ,609.20 ,3460.00 ,0.02 
2014/3/16,619.10 ,624.00 ,627.30 ,613.20 ,3300.00 ,-0.01 
2014/3/17,606.40 ,619.10 ,622.50 ,602.70 ,3580.00 ,-0.02 
2014/3/18,598.90 ,606.40 ,611.70 ,585.70 ,3650.00 ,-0.01 
2014/3/19,595.00 ,598.90 ,607.10 ,590.10 ,3580.00 ,-0.01 
2014/3/20,566.00 ,595.00 ,598.40 ,560.30 ,4240.00 ,-0.05 
2014/3/21,549.60 ,566.00 ,587.40 ,540.20 ,3820.00 ,-0.03 
2014/3/22,564.30 ,549.60 ,570.00 ,537.20 ,3770.00 ,0.03 
2014/3/23,551.20 ,564.30 ,564.30 ,538.60 ,4130.00 ,-0.02 
2014/3/24,567.60 ,551.20 ,572.50 ,531.30 ,3670.00 ,0.03 
2014/3/25,562.90 ,567.60 ,569.70 ,550.40 ,3870.00 ,-0.01 
2014/3/26,562.50 ,562.90 ,575.40 ,546.30 ,3710.00 ,0.00 
2014/3/27,460.50 ,562.50 ,567.80 ,460.50 ,3780.00 ,-0.18 
2014/3/28,482.60 ,460.50 ,515.00 ,453.80 ,4110.00 ,0.05 
2014/3/29,477.10 ,482.60 ,494.30 ,473.80 ,4290.00 ,-0.01 
2014/3/30,446.90 ,477.10 ,479.00 ,424.00 ,3860.00 ,-0.06 
2014/3/31,444.70 ,446.90 ,473.40 ,422.50 ,4150.00 ,-0.01 
2014/4/1,463.50 ,444.70 ,487.40 ,438.00 ,3970.00 ,0.04 
2014/4/2,424.40 ,463.50 ,480.30 ,409.30 ,4380.00 ,-0.08 
2014/4/3,436.30 ,424.40 ,448.70 ,386.70 ,4019.9999999999995,0.03 
2014/4/4,444.40 ,436.30 ,456.50 ,415.50 ,2570.00 ,0.02 
2014/4/5,456.60 ,444.40 ,461.20 ,439.40 ,1160.00 ,0.03 
2014/4/6,455.70 ,456.60 ,472.40 ,446.30 ,3590.00 ,0.00 
2014/4/7,462.40 ,455.70 ,485.10 ,448.00 ,3950.00 ,0.01 
2014/4/8,466.60 ,462.40 ,480.70 ,457.60 ,3910.00 ,0.01 
2014/4/9,457.30 ,466.60 ,479.70 ,451.10 ,3880.00 ,-0.02 
2014/4/10,384.60 ,457.30 ,463.50 ,384.60 ,3650.00 ,-0.16 
2014/4/11,435.10 ,384.60 ,450.40 ,355.70 ,5160.00 ,0.13 
2014/4/12,437.60 ,435.10 ,469.80 ,428.00 ,5190.00 ,0.01 
2014/4/13,427.60 ,437.60 ,454.10 ,409.90 ,4970.00 ,-0.02 
2014/4/14,478.40 ,427.60 ,497.80 ,420.10 ,7620.00 ,0.12 
2014/4/15,526.40 ,478.40 ,526.60 ,466.40 ,8000.00 ,0.10 
2014/4/16,537.00 ,526.40 ,549.00 ,496.10 ,8060.000000000001,0.02 
2014/4/17,502.00 ,537.00 ,537.00 ,486.90 ,8000.00 ,-0.07 
2014/4/18,485.50 ,502.00 ,512.20 ,472.00 ,8360.00 ,-0.03 
2014/4/19,506.00 ,485.50 ,516.90 ,473.20 ,8380.00 ,0.04 
2014/4/20,498.50 ,506.00 ,522.20 ,488.70 ,7690.00 ,-0.01 
2014/4/21,495.20 ,498.50 ,524.70 ,490.70 ,7350.00 ,-0.01 
2014/4/22,487.90 ,495.20 ,520.50 ,483.40 ,5680.00 ,-0.01 
2014/4/23,487.30 ,487.90 ,510.00 ,482.30 ,4740.00 ,0.00 
2014/4/24,500.30 ,487.30 ,507.30 ,477.20 ,4230.00 ,0.03 
2014/4/25,464.50 ,500.30 ,502.50 ,438.30 ,6450.00 ,-0.07 
2014/4/26,457.90 ,464.50 ,468.70 ,448.60 ,6890.00 ,-0.01 
2014/4/27,443.20 ,457.90 ,461.40 ,437.40 ,6960.00 ,-0.03 
2014/4/28,441.90 ,443.20 ,451.10 ,420.80 ,4540.00 ,0.00 
2014/4/29,446.10 ,441.90 ,453.80 ,430.70 ,3720.00 ,0.01 
2014/4/30,445.60 ,446.10 ,452.60 ,430.90 ,4080.00 ,0.00 
2014/5/1,460.10 ,445.60 ,464.50 ,444.50 ,4200.00 ,0.03 
2014/5/2,453.70 ,460.10 ,463.40 ,442.00 ,3380.00 ,-0.01 
2014/5/3,438.60 ,453.70 ,454.20 ,429.10 ,2580.00 ,-0.03 
2014/5/4,436.00 ,438.60 ,446.60 ,428.80 ,3370.00 ,-0.01 
2014/5/5,430.90 ,436.00 ,443.90 ,426.40 ,3040.00 ,-0.01 
2014/5/6,432.20 ,430.90 ,435.00 ,420.20 ,4190.00 ,0.00 
2014/5/7,446.50 ,432.20 ,458.80 ,423.50 ,5030.00 ,0.03 
2014/5/8,441.10 ,446.50 ,455.50 ,439.50 ,2540.00 ,-0.01 
2014/5/9,445.50 ,441.10 ,455.80 ,438.50 ,2270.00 ,0.01 
2014/5/10,451.90 ,445.50 ,459.50 ,441.40 ,450.00 ,0.01 
2014/5/11,433.20 ,451.90 ,455.40 ,429.00 ,1890.00 ,-0.04 
2014/5/12,438.20 ,433.20 ,441.10 ,430.20 ,1390.00 ,0.01 
2014/5/13,433.90 ,438.20 ,442.30 ,432.70 ,2650.00 ,-0.01 
2014/5/14,442.60 ,433.90 ,444.30 ,433.90 ,2200.00 ,0.02 
2014/5/15,448.10 ,442.60 ,450.00 ,441.50 ,2170.00 ,0.01 
2014/5/16,453.60 ,448.10 ,455.10 ,441.90 ,1760.00 ,0.01 
2014/5/17,452.80 ,453.60 ,455.90 ,452.20 ,1710.00 ,0.00 
2014/5/18,450.10 ,452.80 ,454.00 ,449.00 ,1450.00 ,-0.01 
2014/5/19,443.90 ,450.10 ,451.70 ,441.20 ,1350.00 ,-0.01 
2014/5/20,484.60 ,443.90 ,486.20 ,437.30 ,1900.00 ,0.09 
2014/5/21,488.80 ,484.60 ,495.20 ,481.70 ,1400.00 ,0.01 
2014/5/22,515.40 ,488.80 ,519.30 ,485.50 ,3120.00 ,0.05 
2014/5/23,518.10 ,515.40 ,540.90 ,515.20 ,2760.00 ,0.01 
2014/5/24,520.50 ,518.10 ,526.70 ,510.40 ,2860.00 ,0.00 
2014/5/25,570.40 ,520.50 ,575.20 ,520.50 ,1870.00 ,0.10 
2014/5/26,582.00 ,570.40 ,586.40 ,564.70 ,2960.00 ,0.02 
2014/5/27,570.10 ,582.00 ,586.20 ,555.30 ,3350.00 ,-0.02 
2014/5/28,570.80 ,570.10 ,581.80 ,562.60 ,3570.00 ,0.00 
2014/5/29,564.40 ,570.80 ,573.80 ,557.70 ,3730.00 ,-0.01 
2014/5/30,612.30 ,564.40 ,613.30 ,564.00 ,6210.00 ,0.08 
2014/5/31,627.90 ,612.30 ,629.00 ,604.70 ,4410.00 ,0.03 
2014/6/1,649.80 ,627.90 ,675.00 ,622.00 ,3550.00 ,0.03 
2014/6/2,655.50 ,649.80 ,662.60 ,625.50 ,4130.00 ,0.01 
2014/6/3,669.40 ,655.50 ,676.50 ,631.40 ,4360.00 ,0.02 
2014/6/4,638.90 ,669.40 ,669.80 ,602.10 ,5600.00 ,-0.05 
2014/6/5,660.20 ,638.90 ,665.40 ,635.60 ,2760.00 ,0.03 
2014/6/6,650.40 ,660.20 ,663.80 ,647.10 ,6040.00 ,-0.01 
2014/6/7,651.70 ,650.40 ,659.80 ,641.00 ,1970.00 ,0.00 
2014/6/8,651.00 ,651.70 ,658.90 ,648.70 ,3310.00 ,0.00 
2014/6/9,644.30 ,651.00 ,652.10 ,639.10 ,3260.00 ,-0.01 
2014/6/10,655.60 ,644.30 ,661.40 ,641.70 ,3560.00 ,0.02 
2014/6/11,643.00 ,655.60 ,663.00 ,642.30 ,3800.00 ,-0.02 
2014/6/12,597.10 ,643.00 ,643.80 ,591.10 ,4590.00 ,-0.07 
2014/6/13,610.30 ,597.10 ,619.10 ,594.90 ,7550.00 ,0.02 
2014/6/14,583.40 ,610.30 ,613.80 ,563.70 ,5000.00 ,-0.04 
2014/6/15,582.30 ,583.40 ,587.80 ,560.80 ,3940.00 ,0.00 
2014/6/16,599.10 ,582.30 ,606.10 ,580.50 ,3990.00 ,0.03 
2014/6/17,605.10 ,599.10 ,608.40 ,594.90 ,3000.00 ,0.01 
2014/6/18,606.20 ,605.10 ,614.40 ,603.60 ,3310.00 ,0.00 
2014/6/19,600.20 ,606.20 ,612.60 ,598.70 ,5600.00 ,-0.01 
2014/6/20,590.80 ,600.20 ,602.00 ,587.10 ,2150.00 ,-0.02 
2014/6/21,597.00 ,590.80 ,599.20 ,584.80 ,2280.00 ,0.01 
2014/6/22,603.60 ,597.00 ,610.10 ,592.00 ,2040.00 ,0.01 
2014/6/23,591.20 ,603.60 ,604.70 ,582.90 ,2650.00 ,-0.02 
2014/6/24,588.80 ,591.20 ,595.70 ,585.40 ,3080.00 ,0.00 
2014/6/25,568.50 ,588.80 ,589.60 ,566.90 ,3090.00 ,-0.03 
2014/6/26,582.70 ,568.50 ,582.70 ,565.80 ,4150.00 ,0.03 
2014/6/27,602.20 ,582.70 ,603.90 ,580.10 ,3390.00 ,0.03 
2014/6/28,597.60 ,602.20 ,608.80 ,594.00 ,2940.00 ,-0.01 
2014/6/29,601.10 ,597.60 ,604.30 ,593.20 ,2890.00 ,0.01 
2014/6/30,635.10 ,601.10 ,637.30 ,596.50 ,3830.00 ,0.06 
2014/7/1,643.20 ,635.10 ,652.50 ,634.10 ,4110.00 ,0.01 
2014/7/2,645.70 ,643.20 ,652.10 ,604.60 ,4780.00 ,0.00 
2014/7/3,638.00 ,645.70 ,646.40 ,633.60 ,4010.00 ,-0.01 
2014/7/4,624.00 ,638.00 ,642.20 ,623.00 ,3600.00 ,-0.02 
2014/7/5,623.00 ,624.00 ,627.80 ,619.70 ,3250.00 ,0.00 
2014/7/6,626.70 ,623.00 ,629.40 ,622.70 ,2700.00 ,0.01 
2014/7/7,613.60 ,626.70 ,627.90 ,607.30 ,2530.00 ,-0.02 
2014/7/8,615.30 ,613.60 ,619.70 ,609.30 ,3210.00 ,0.00 
2014/7/9,623.00 ,615.30 ,623.80 ,610.50 ,3070.00 ,0.01 
2014/7/10,618.40 ,623.00 ,625.00 ,611.70 ,3610.00 ,-0.01 
2014/7/11,632.90 ,618.40 ,633.60 ,616.10 ,3120.00 ,0.02 
2014/7/12,635.90 ,632.90 ,638.60 ,625.90 ,3430.00 ,0.00 
2014/7/13,628.00 ,635.90 ,638.60 ,627.50 ,1700.00 ,-0.01 
2014/7/14,618.30 ,628.00 ,629.00 ,616.10 ,2550.00 ,-0.02 
2014/7/15,619.60 ,618.30 ,624.40 ,617.30 ,3690.00 ,0.00 
2014/7/16,614.80 ,619.60 ,622.40 ,614.20 ,3000.00 ,-0.01 
2014/7/17,626.60 ,614.80 ,632.50 ,610.00 ,2920.00 ,0.02 
2014/7/18,627.50 ,626.60 ,630.20 ,617.90 ,3350.00 ,0.00 
2014/7/19,627.00 ,627.50 ,634.10 ,625.10 ,3960.00 ,0.00 
2014/7/20,621.00 ,627.00 ,627.90 ,620.00 ,2300.00 ,-0.01 
2014/7/21,625.10 ,621.00 ,625.90 ,615.00 ,2530.00 ,0.01 
2014/7/22,622.50 ,625.10 ,628.80 ,620.00 ,3280.00 ,0.00 
2014/7/23,621.70 ,622.50 ,625.00 ,621.00 ,2170.00 ,0.00 
2014/7/24,601.90 ,621.70 ,622.00 ,599.40 ,4740.00 ,-0.03 
2014/7/25,600.50 ,601.90 ,609.10 ,597.40 ,5920.00 ,0.00 
2014/7/26,596.00 ,600.50 ,603.00 ,593.30 ,3480.00 ,-0.01 
2014/7/27,595.00 ,596.00 ,601.50 ,593.70 ,3530.00 ,0.00 
2014/7/28,587.90 ,595.00 ,597.50 ,578.10 ,2330.00 ,-0.01 
2014/7/29,585.80 ,587.90 ,591.30 ,579.50 ,6720.00 ,0.00 
2014/7/30,564.60 ,585.80 ,586.10 ,564.20 ,4100.00 ,-0.04 
2014/7/31,589.50 ,564.60 ,593.70 ,564.00 ,3520.00 ,0.04 
2014/8/1,598.80 ,589.50 ,604.00 ,586.40 ,8930.00 ,0.02 
2014/8/2,591.70 ,598.80 ,598.90 ,587.40 ,2120.00 ,-0.01 
2014/8/3,588.90 ,591.70 ,592.10 ,580.60 ,1260.00 ,0.00 
2014/8/4,592.80 ,588.90 ,595.10 ,586.50 ,3420.00 ,0.01 
2014/8/5,588.80 ,592.80 ,594.30 ,585.40 ,4090.00 ,-0.01 
2014/8/6,589.80 ,588.80 ,593.80 ,587.20 ,3010.00 ,0.00 
2014/8/7,592.80 ,589.80 ,595.10 ,587.90 ,2500.00 ,0.01 
2014/8/8,595.80 ,592.80 ,608.20 ,592.10 ,3110.00 ,0.01 
2014/8/9,589.50 ,595.80 ,595.60 ,587.40 ,1420.00 ,-0.01 
2014/8/10,592.10 ,589.50 ,596.60 ,588.10 ,1340.00 ,0.00 
2014/8/11,575.90 ,592.10 ,593.60 ,571.70 ,2570.00 ,-0.03 
2014/8/12,567.70 ,575.90 ,578.30 ,562.00 ,3330.00 ,-0.01 
2014/8/13,542.10 ,567.70 ,573.50 ,523.20 ,4820.00 ,-0.05 
2014/8/14,504.80 ,542.10 ,544.90 ,495.90 ,10880.00 ,-0.07 
2014/8/15,496.50 ,504.80 ,515.20 ,483.20 ,4770.00 ,-0.02 
2014/8/16,522.00 ,496.50 ,524.30 ,483.20 ,3870.00 ,0.05 
2014/8/17,485.50 ,522.00 ,524.70 ,478.20 ,3140.00 ,-0.07 
2014/8/18,462.20 ,485.50 ,493.30 ,450.00 ,6380.00 ,-0.05 
2014/8/19,485.10 ,462.20 ,487.00 ,455.80 ,5120.00 ,0.05 
2014/8/20,516.80 ,485.10 ,521.80 ,468.50 ,5890.00 ,0.07 
2014/8/21,517.90 ,516.80 ,537.20 ,511.40 ,5650.00 ,0.00 
2014/8/22,516.10 ,517.90 ,524.40 ,500.60 ,6030.00 ,0.00 
2014/8/23,497.70 ,516.10 ,516.80 ,494.00 ,3130.00 ,-0.04 
2014/8/24,509.70 ,497.70 ,514.80 ,496.80 ,2530.00 ,0.02 
2014/8/25,502.90 ,509.70 ,511.30 ,499.70 ,2740.00 ,-0.01 
2014/8/26,512.60 ,502.90 ,516.00 ,501.80 ,3530.00 ,0.02 
2014/8/27,515.20 ,512.60 ,527.40 ,512.70 ,3790.00 ,0.01 
2014/8/28,510.80 ,515.20 ,521.60 ,503.30 ,4470.00 ,-0.01 
2014/8/29,512.60 ,510.80 ,515.20 ,506.70 ,3640.00 ,0.00 
2014/8/30,506.00 ,512.60 ,512.90 ,503.10 ,2630.00 ,-0.01 
2014/8/31,481.80 ,506.00 ,508.30 ,478.30 ,6100.00 ,-0.05 
2014/9/1,477.20 ,481.80 ,487.50 ,471.80 ,6790.00 ,-0.01 
2014/9/2,478.90 ,477.20 ,487.00 ,470.50 ,6750.00 ,0.00 
2014/9/3,480.00 ,478.90 ,487.30 ,476.80 ,6140.00 ,0.00 
2014/9/4,491.00 ,480.00 ,498.50 ,476.30 ,8810.00 ,0.02 
2014/9/5,483.60 ,491.00 ,495.00 ,483.10 ,6040.00 ,-0.01 
2014/9/6,484.50 ,483.60 ,491.40 ,480.80 ,3790.00 ,0.00 
2014/9/7,485.80 ,484.50 ,490.70 ,478.50 ,3560.00 ,0.00 
2014/9/8,475.70 ,485.80 ,487.00 ,469.50 ,8140.000000000001,-0.02 
2014/9/9,474.90 ,475.70 ,478.60 ,467.50 ,7290.00 ,0.00 
2014/9/10,479.70 ,474.90 ,491.00 ,471.60 ,8290.00 ,0.01 
2014/9/11,478.50 ,479.70 ,488.90 ,474.60 ,6290.00 ,0.00 
2014/9/12,477.70 ,478.50 ,479.70 ,471.10 ,5150.00 ,0.00 
2014/9/13,478.20 ,477.70 ,480.60 ,474.60 ,5280.00 ,0.00 
2014/9/14,477.70 ,478.20 ,480.30 ,472.00 ,4210.00 ,0.00 
2014/9/15,477.70 ,477.70 ,479.30 ,473.70 ,5630.00 ,0.00 
2014/9/16,466.80 ,477.70 ,478.80 ,464.00 ,6520.00 ,-0.02 
2014/9/17,461.10 ,466.80 ,469.40 ,458.30 ,7510.00 ,-0.01 
